No.,Time,Source,Destination,Protocol,Length,Info
131,869.099986,fe80::c30c:0:0:4,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
132,869.103251,fe80::c30c:0:0:4,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
133,899.999947,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
134,959.999947,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
135,1019.999947,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
136,1079.999948,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
137,1139.999948,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
138,1199.999953,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
139,1259.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
140,1319.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
141,1379.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
142,1439.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
143,1499.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
144,1559.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
145,1619.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
146,1679.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
147,1739.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
148,1799.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
149,1828.866539,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
150,1828.869826,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
151,1828.873091,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
152,1828.876358,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
153,1828.879653,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
154,1828.882919,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
155,1828.886185,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
156,1828.889451,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
157,1828.892715,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
158,1828.89598,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
159,1828.899245,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
160,1828.902511,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
161,1828.905777,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
162,1828.909041,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
163,1828.912307,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
164,1828.915617,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
165,1828.9189,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
166,1828.922165,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
